Date,Discount
1/1/21,51.8
1/4/21,51.09
1/5/21,53.6
1/6/21,54.3
1/7/21,54.38
1/8/21,55.99
1/11/21,55.66
1/12/21,56.58
1/13/21,56.06
1/14/21,56.42
1/15/21,55.1
1/18/21,54.75
1/19/21,55.9
1/20/21,56.08
1/21/21,56.1
1/22/21,55.41
1/25/21,55.88
1/26/21,55.91
1/27/21,55.81
1/28/21,55.53
1/29/21,55.88
2/1/21,56.35
2/2/21,57.46
2/3/21,58.46
2/4/21,58.84
2/5/21,59.34
2/8/21,60.56
2/9/21,61.09
2/10/21,61.47
2/11/21,61.14
2/12/21,62.43
2/15/21,63.3
2/16/21,63.35
2/17/21,64.34
2/18/21,63.93
2/19/21,62.91
2/22/21,65.24
2/23/21,65.37
2/24/21,67.04
2/25/21,66.88
2/26/21,66.13
3/1/21,63.69
3/2/21,62.7
3/3/21,64.07
3/4/21,66.74
3/5/21,69.36
3/8/21,68.24
3/9/21,67.52
3/10/21,67.9
3/11/21,69.63
3/12/21,69.22
3/15/21,68.88
3/16/21,68.39
3/17/21,68
3/18/21,63.28
3/19/21,64.53
3/22/21,64.62
3/23/21,60.79
3/24/21,64.41
3/25/21,61.95
3/26/21,64.57
3/29/21,64.98
3/30/21,64.14
3/31/21,63.54
4/1/21,64.86
4/2/21,64.86
4/5/21,62.15
4/6/21,62.74
4/7/21,63.16
4/8/21,63.2
4/9/21,62.95
4/12/21,63.28
4/13/21,63.67
4/14/21,66.58
4/15/21,66.94
4/16/21,66.77
4/19/21,67.05
4/20/21,66.57
4/21/21,65.32
4/22/21,65.4
4/23/21,66.11
4/26/21,65.65
4/27/21,66.42
4/28/21,67.27
4/29/21,68.56
4/30/21,67.25
5/3/21,67.56
5/4/21,68.88
5/5/21,68.96
5/6/21,68.09
5/7/21,68.28
5/10/21,68.32
5/11/21,68.55
5/12/21,69.32
5/13/21,67.05
5/14/21,68.71
5/17/21,69.46
5/18/21,68.71
5/19/21,66.66
5/20/21,65.11
5/21/21,66.44
5/24/21,68.46
5/25/21,68.65
5/26/21,68.87
5/27/21,69.46
5/28/21,69.63
5/31/21,69.32
6/1/21,70.25
6/2/21,71.35
6/3/21,71.31
6/4/21,71.89
6/7/21,71.49
6/8/21,72.22
6/9/21,72.22
6/10/21,72.52
6/11/21,72.69
6/14/21,72.86
6/15/21,73.99
6/16/21,74.39
6/17/21,73.08
6/18/21,73.51
6/21/21,74.9
6/22/21,74.81
6/23/21,75.19
6/24/21,75.56
6/25/21,76.18
6/28/21,74.68
6/29/21,74.76
6/30/21,75.13
7/1/21,75.84
7/2/21,76.17
7/5/21,77.16
7/6/21,74.53
7/7/21,73.43
7/8/21,74.12
7/9/21,75.55
7/12/21,75.16
7/13/21,76.49
7/14/21,74.76
7/15/21,73.47
7/16/21,73.59
7/19/21,68.62
7/20/21,69.35
7/21/21,72.23
7/22/21,73.79
7/23/21,74.1
7/26/21,74.5
7/27/21,74.48
7/28/21,74.74
7/29/21,76.05
7/30/21,76.33
8/2/21,72.89
8/3/21,72.41
8/4/21,70.38
8/5/21,71.29
8/6/21,70.7
8/9/21,69.04
8/10/21,70.63
8/11/21,71.44
8/12/21,71.31
8/13/21,70.59
8/16/21,69.51
8/17/21,69.03
8/18/21,68.23
8/19/21,66.45
8/20/21,65.18
8/23/21,68.75
8/24/21,71.05
8/25/21,72.25
8/26/21,71.07
8/27/21,72.7
8/30/21,73.41
8/31/21,72.99
9/1/21,71.59
9/2/21,73.03
9/3/21,72.61
9/6/21,72.22
9/7/21,71.69
9/8/21,72.6
9/9/21,71.45
9/10/21,72.92
9/13/21,73.51
9/14/21,73.6
9/15/21,75.46
9/16/21,75.67
9/17/21,75.34
9/20/21,73.92
9/21/21,74.36
9/22/21,76.19
9/23/21,77.25
9/24/21,78.09
9/27/21,79.53
9/28/21,79.09
9/29/21,78.64
9/30/21,78.52
10/1/21,79.28
10/4/21,81.26
10/5/21,82.56
10/6/21,81.08
10/7/21,81.95
10/8/21,82.39
10/11/21,83.65
10/12/21,83.42
10/13/21,83.18
10/14/21,84
10/15/21,84.86
10/18/21,84.33
10/19/21,85.08
10/20/21,85.82
10/21/21,84.61
10/22/21,85.53
10/25/21,85.99
10/26/21,86.4
10/27/21,84.58
10/28/21,84.32
10/29/21,84.38
11/1/21,84.71
11/2/21,84.72
11/3/21,81.99
11/4/21,80.54
11/5/21,82.74
11/8/21,83.43
11/9/21,84.78
11/10/21,82.64
11/11/21,82.87
11/12/21,82.17
11/15/21,82.05
11/16/21,82.43
11/17/21,80.28
11/18/21,81.24
11/19/21,78.89
11/22/21,79.7
11/23/21,82.31
11/24/21,82.25
11/25/21,82.22
11/26/21,72.72
11/29/21,73.44
11/30/21,70.57
12/1/21,68.87
12/2/21,69.67
12/3/21,69.88
12/6/21,73.08
12/7/21,75.44
12/8/21,75.82
12/9/21,74.42
12/10/21,75.15
12/13/21,74.39
12/14/21,73.7
12/15/21,73.88
12/16/21,75.02
12/17/21,73.52
12/20/21,71.52
12/21/21,73.98
12/22/21,75.29
12/23/21,76.85
12/24/21,76.14
12/27/21,78.6
12/28/21,78.94
12/29/21,79.23
12/30/21,79.32
12/31/21,77.78
1/3/22,78.98
1/4/22,80
1/5/22,80.8
1/6/22,81.99
1/7/22,81.75
1/10/22,80.87
1/11/22,83.72
1/12/22,84.67
1/13/22,84.47
1/14/22,86.06
1/17/22,86.48
1/18/22,87.51
1/19/22,88.44
1/20/22,88.38
1/21/22,87.89
1/24/22,86.27
1/25/22,88.2
1/26/22,89.96
1/27/22,89.34
1/28/22,90.03
1/31/22,91.21
2/1/22,89.16
2/2/22,89.47
2/3/22,91.11
2/4/22,93.27
