Date,Urals
1/16/24,62.15
1/15/24,61.76
1/12/24,61.88
1/11/24,62.18
1/10/24,60.47
1/9/24,59.97
1/8/24,57.47
1/5/24,60.31
1/4/24,57.78
1/3/24,59.18
1/2/24,58.23
12/29/23,59.7
12/28/23,61.04
12/27/23,62.97
12/22/23,62.23
12/21/23,62.69
12/20/23,63.12
12/19/23,61.82
12/18/23,60.89
12/15/23,58.84
12/14/23,59.05
12/13/23,56.14
12/12/23,56.11
12/11/23,57.75
12/8/23,57.99
12/7/23,56.48
12/6/23,56.74
12/5/23,60.34
12/4/23,60.48
12/1/23,63.09
11/30/23,64.6
11/29/23,64.11
11/28/23,63.93
11/27/23,61.94
11/24/23,63.65
11/23/23,62.58
11/22/23,61.11
11/21/23,63.77
11/20/23,67.61
11/17/23,64.35
11/16/23,63.1
11/15/23,67.86
11/14/23,70.13
11/13/23,69
11/10/23,69.56
11/9/23,68.46
11/8/23,68.41
11/7/23,70.46
11/6/23,74.04
11/3/23,73.8
11/2/23,74.46
11/1/23,74.28
10/31/23,75.8
10/30/23,74.34
10/27/23,74.81
10/26/23,75.2
10/25/23,74.43
10/24/23,73.69
10/23/23,79.44
10/20/23,80.94
10/19/23,78.13
10/18/23,77.71
10/17/23,76.55
10/16/23,77.65
10/13/23,79
10/12/23,75.04
10/11/23,73.22
10/10/23,76.49
10/9/23,77.08
10/6/23,73.67
10/5/23,74.73
10/4/23,77.8
10/3/23,80.58
10/2/23,77.18
9/29/23,82.02
9/28/23,83.33
9/27/23,83.51
9/26/23,78.17
9/25/23,77.71
9/22/23,78.39
9/21/23,78.59
9/20/23,80.89
9/19/23,80.89
9/18/23,80.23
9/15/23,79.28
9/14/23,78.68
9/13/23,77.17
9/12/23,77.73
9/11/23,75.8
9/8/23,76.04
9/7/23,75.65
9/6/23,75.28
9/5/23,75.83
9/4/23,74.3
9/1/23,73.26
8/31/23,71.12
8/30/23,69.88
8/29/23,69.8
8/28/23,69.1
8/25/23,69.1
8/24/23,67.86
8/23/23,67.98
8/22/23,68.88
8/21/23,70.14
8/18/23,69.54
8/17/23,70.84
