commodity_group,departure_date,destination,volume,date
Crude oil,2021-12-31T00:00:00Z,EU,1.936294486,12/31/2021
Crude oil,2022-01-01T00:00:00Z,EU,1.911156773,1/1/2022
Crude oil,2022-01-02T00:00:00Z,EU,1.878587358,1/2/2022
Crude oil,2022-01-03T00:00:00Z,EU,1.853720163,1/3/2022
Crude oil,2022-01-04T00:00:00Z,EU,1.853622049,1/4/2022
Crude oil,2022-01-05T00:00:00Z,EU,1.872892532,1/5/2022
Crude oil,2022-01-06T00:00:00Z,EU,1.923319138,1/6/2022
Crude oil,2022-01-07T00:00:00Z,EU,1.897704457,1/7/2022
Crude oil,2022-01-08T00:00:00Z,EU,1.971568811,1/8/2022
Crude oil,2022-01-09T00:00:00Z,EU,2.022704737,1/9/2022
Crude oil,2022-01-10T00:00:00Z,EU,2.001290616,1/10/2022
Crude oil,2022-01-11T00:00:00Z,EU,2.088728871,1/11/2022
Crude oil,2022-01-12T00:00:00Z,EU,2.14623382,1/12/2022
Crude oil,2022-01-13T00:00:00Z,EU,2.099414168,1/13/2022
Crude oil,2022-01-14T00:00:00Z,EU,2.106422182,1/14/2022
Crude oil,2022-01-15T00:00:00Z,EU,2.056146754,1/15/2022
Crude oil,2022-01-16T00:00:00Z,EU,2.034501312,1/16/2022
Crude oil,2022-01-17T00:00:00Z,EU,2.009363598,1/17/2022
Crude oil,2022-01-18T00:00:00Z,EU,2.039236581,1/18/2022
Crude oil,2022-01-19T00:00:00Z,EU,1.969257645,1/19/2022
Crude oil,2022-01-20T00:00:00Z,EU,1.993273835,1/20/2022
Crude oil,2022-01-21T00:00:00Z,EU,1.936871616,1/21/2022
Crude oil,2022-01-22T00:00:00Z,EU,1.912004421,1/22/2022
Crude oil,2022-01-23T00:00:00Z,EU,1.916205758,1/23/2022
Crude oil,2022-01-24T00:00:00Z,EU,1.966481186,1/24/2022
Crude oil,2022-01-25T00:00:00Z,EU,1.956403202,1/25/2022
Crude oil,2022-01-26T00:00:00Z,EU,1.97132521,1/26/2022
Crude oil,2022-01-27T00:00:00Z,EU,1.976135734,1/27/2022
Crude oil,2022-01-28T00:00:00Z,EU,1.972876754,1/28/2022
Crude oil,2022-01-29T00:00:00Z,EU,1.952323131,1/29/2022
Crude oil,2022-01-30T00:00:00Z,EU,1.862594678,1/30/2022
Crude oil,2022-01-31T00:00:00Z,EU,1.91284888,1/31/2022
Crude oil,2022-02-01T00:00:00Z,EU,1.890092271,2/1/2022
Crude oil,2022-02-02T00:00:00Z,EU,1.936563705,2/2/2022
Crude oil,2022-02-03T00:00:00Z,EU,1.936834225,2/3/2022
Crude oil,2022-02-04T00:00:00Z,EU,1.881388886,2/4/2022
Crude oil,2022-02-05T00:00:00Z,EU,1.967537102,2/5/2022
Crude oil,2022-02-06T00:00:00Z,EU,2.014295253,2/6/2022
Crude oil,2022-02-07T00:00:00Z,EU,1.965568613,2/7/2022
Crude oil,2022-02-08T00:00:00Z,EU,1.919016777,2/8/2022
Crude oil,2022-02-09T00:00:00Z,EU,1.919167956,2/9/2022
Crude oil,2022-02-10T00:00:00Z,EU,1.835453293,2/10/2022
Crude oil,2022-02-11T00:00:00Z,EU,1.890095442,2/11/2022
Crude oil,2022-02-12T00:00:00Z,EU,1.864957728,2/12/2022
Crude oil,2022-02-13T00:00:00Z,EU,1.841620304,2/13/2022
Crude oil,2022-02-14T00:00:00Z,EU,1.841620304,2/14/2022
Crude oil,2022-02-15T00:00:00Z,EU,1.81564201,2/15/2022
Crude oil,2022-02-16T00:00:00Z,EU,1.899749678,2/16/2022
Crude oil,2022-02-17T00:00:00Z,EU,1.870737193,2/17/2022
Crude oil,2022-02-18T00:00:00Z,EU,1.894311503,2/18/2022
Crude oil,2022-02-19T00:00:00Z,EU,1.795395053,2/19/2022
Crude oil,2022-02-20T00:00:00Z,EU,1.910588477,2/20/2022
Crude oil,2022-02-21T00:00:00Z,EU,1.940582109,2/21/2022
Crude oil,2022-02-22T00:00:00Z,EU,1.902347295,2/22/2022
Crude oil,2022-02-23T00:00:00Z,EU,1.879119677,2/23/2022
Crude oil,2022-02-24T00:00:00Z,EU,1.834358277,2/24/2022
Crude oil,2022-02-25T00:00:00Z,EU,1.880555596,2/25/2022
Crude oil,2022-02-26T00:00:00Z,EU,1.8267085,2/26/2022
Crude oil,2022-02-27T00:00:00Z,EU,1.850541021,2/27/2022
Crude oil,2022-02-28T00:00:00Z,EU,1.873553358,2/28/2022
Crude oil,2022-03-01T00:00:00Z,EU,1.862554673,3/1/2022
Crude oil,2022-03-02T00:00:00Z,EU,1.837438185,3/2/2022
Crude oil,2022-03-03T00:00:00Z,EU,1.855610703,3/3/2022
Crude oil,2022-03-04T00:00:00Z,EU,1.879890718,3/4/2022
Crude oil,2022-03-05T00:00:00Z,EU,1.875306627,3/5/2022
Crude oil,2022-03-06T00:00:00Z,EU,1.954136981,3/6/2022
Crude oil,2022-03-07T00:00:00Z,EU,1.867837586,3/7/2022
Crude oil,2022-03-08T00:00:00Z,EU,1.891067905,3/8/2022
Crude oil,2022-03-09T00:00:00Z,EU,1.868365298,3/9/2022
Crude oil,2022-03-10T00:00:00Z,EU,1.893503012,3/10/2022
Crude oil,2022-03-11T00:00:00Z,EU,1.891805482,3/11/2022
Crude oil,2022-03-12T00:00:00Z,EU,1.916943196,3/12/2022
Crude oil,2022-03-13T00:00:00Z,EU,1.800675291,3/13/2022
Crude oil,2022-03-14T00:00:00Z,EU,1.825661826,3/14/2022
