commodity_group,departure_date,destination,volume,Date
Oil products,2021-12-31T00:00:00Z,EU,1.320616211,12/31/2021
Oil products,2022-01-01T00:00:00Z,EU,1.376098927,1/1/2022
Oil products,2022-01-02T00:00:00Z,EU,1.393140838,1/2/2022
Oil products,2022-01-03T00:00:00Z,EU,1.418237823,1/3/2022
Oil products,2022-01-04T00:00:00Z,EU,1.420390127,1/4/2022
Oil products,2022-01-05T00:00:00Z,EU,1.421540223,1/5/2022
Oil products,2022-01-06T00:00:00Z,EU,1.403014943,1/6/2022
Oil products,2022-01-07T00:00:00Z,EU,1.377824179,1/7/2022
Oil products,2022-01-08T00:00:00Z,EU,1.409276257,1/8/2022
Oil products,2022-01-09T00:00:00Z,EU,1.427028906,1/9/2022
Oil products,2022-01-10T00:00:00Z,EU,1.457097603,1/10/2022
Oil products,2022-01-11T00:00:00Z,EU,1.438850647,1/11/2022
Oil products,2022-01-12T00:00:00Z,EU,1.473792989,1/12/2022
Oil products,2022-01-13T00:00:00Z,EU,1.46170753,1/13/2022
Oil products,2022-01-14T00:00:00Z,EU,1.428123254,1/14/2022
Oil products,2022-01-15T00:00:00Z,EU,1.431758527,1/15/2022
Oil products,2022-01-16T00:00:00Z,EU,1.4049953,1/16/2022
Oil products,2022-01-17T00:00:00Z,EU,1.413635183,1/17/2022
Oil products,2022-01-18T00:00:00Z,EU,1.389934902,1/18/2022
Oil products,2022-01-19T00:00:00Z,EU,1.426709268,1/19/2022
Oil products,2022-01-20T00:00:00Z,EU,1.405754332,1/20/2022
Oil products,2022-01-21T00:00:00Z,EU,1.459236001,1/21/2022
Oil products,2022-01-22T00:00:00Z,EU,1.412620996,1/22/2022
Oil products,2022-01-23T00:00:00Z,EU,1.401667131,1/23/2022
Oil products,2022-01-24T00:00:00Z,EU,1.402329188,1/24/2022
Oil products,2022-01-25T00:00:00Z,EU,1.424446734,1/25/2022
Oil products,2022-01-26T00:00:00Z,EU,1.458997283,1/26/2022
Oil products,2022-01-27T00:00:00Z,EU,1.500131605,1/27/2022
Oil products,2022-01-28T00:00:00Z,EU,1.593925302,1/28/2022
Oil products,2022-01-29T00:00:00Z,EU,1.529286595,1/29/2022
Oil products,2022-01-30T00:00:00Z,EU,1.511553535,1/30/2022
Oil products,2022-01-31T00:00:00Z,EU,1.462812228,1/31/2022
Oil products,2022-02-01T00:00:00Z,EU,1.445082021,2/1/2022
Oil products,2022-02-02T00:00:00Z,EU,1.385107009,2/2/2022
Oil products,2022-02-03T00:00:00Z,EU,1.377262645,2/3/2022
Oil products,2022-02-04T00:00:00Z,EU,1.407366309,2/4/2022
Oil products,2022-02-05T00:00:00Z,EU,1.442429449,2/5/2022
Oil products,2022-02-06T00:00:00Z,EU,1.468061394,2/6/2022
Oil products,2022-02-07T00:00:00Z,EU,1.471540046,2/7/2022
Oil products,2022-02-08T00:00:00Z,EU,1.441997452,2/8/2022
Oil products,2022-02-09T00:00:00Z,EU,1.411093126,2/9/2022
Oil products,2022-02-10T00:00:00Z,EU,1.447850965,2/10/2022
Oil products,2022-02-11T00:00:00Z,EU,1.428774942,2/11/2022
Oil products,2022-02-12T00:00:00Z,EU,1.46717305,2/12/2022
Oil products,2022-02-13T00:00:00Z,EU,1.476574933,2/13/2022
Oil products,2022-02-14T00:00:00Z,EU,1.465641171,2/14/2022
Oil products,2022-02-15T00:00:00Z,EU,1.496185346,2/15/2022
Oil products,2022-02-16T00:00:00Z,EU,1.50015717,2/16/2022
Oil products,2022-02-17T00:00:00Z,EU,1.535699197,2/17/2022
Oil products,2022-02-18T00:00:00Z,EU,1.515958826,2/18/2022
Oil products,2022-02-19T00:00:00Z,EU,1.550128385,2/19/2022
Oil products,2022-02-20T00:00:00Z,EU,1.548348331,2/20/2022
Oil products,2022-02-21T00:00:00Z,EU,1.587589163,2/21/2022
Oil products,2022-02-22T00:00:00Z,EU,1.598913157,2/22/2022
Oil products,2022-02-23T00:00:00Z,EU,1.586452114,2/23/2022
Oil products,2022-02-24T00:00:00Z,EU,1.583321787,2/24/2022
Oil products,2022-02-25T00:00:00Z,EU,1.615432085,2/25/2022
Oil products,2022-02-26T00:00:00Z,EU,1.576511755,2/26/2022
Oil products,2022-02-27T00:00:00Z,EU,1.511604393,2/27/2022
Oil products,2022-02-28T00:00:00Z,EU,1.569087019,2/28/2022
Oil products,2022-03-01T00:00:00Z,EU,1.576295467,3/1/2022
Oil products,2022-03-02T00:00:00Z,EU,1.593548303,3/2/2022
Oil products,2022-03-03T00:00:00Z,EU,1.616679844,3/3/2022
Oil products,2022-03-04T00:00:00Z,EU,1.654981393,3/4/2022
Oil products,2022-03-05T00:00:00Z,EU,1.682528828,3/5/2022
Oil products,2022-03-06T00:00:00Z,EU,1.640778907,3/6/2022
Oil products,2022-03-07T00:00:00Z,EU,1.634661587,3/7/2022
Oil products,2022-03-08T00:00:00Z,EU,1.639146007,3/8/2022
Oil products,2022-03-09T00:00:00Z,EU,1.645170197,3/9/2022
Oil products,2022-03-10T00:00:00Z,EU,1.667136938,3/10/2022
Oil products,2022-03-11T00:00:00Z,EU,1.695263501,3/11/2022
