Date,Discount
1/3/22,-2.21
1/4/22,-1.87
1/5/22,-1.88
1/6/22,-1.913
1/7/22,-1.95
1/10/22,-1.93
1/11/22,-2.022
1/12/22,-2.03
1/13/22,-2.026
1/14/22,-1.932
1/17/22,-1.778
1/18/22,-1.58
1/19/22,-1.394
1/20/22,-1.314
1/21/22,-1.272
1/24/22,-1.126
1/25/22,-1.046
1/26/22,-0.964
1/27/22,-0.724
1/28/22,-0.574
1/31/22,-0.514
2/1/22,-1.156
2/2/22,-1.792
2/3/22,-2.484
2/4/22,-3.202
2/7/22,-4.02
2/8/22,-4.136
2/9/22,-4.25
2/10/22,-4.374
2/11/22,-4.436
2/14/22,-4.412
2/15/22,-4.424
2/16/22,-4.428
2/17/22,-4.424
2/18/22,-4.47
2/21/22,-4.276
2/22/22,-4.254
2/23/22,-4.334
2/24/22,-4.8
2/25/22,-5.758
2/28/22,-6.526
3/1/22,-8.064
3/2/22,-10.716
3/3/22,-12.62
3/4/22,-13.356
3/7/22,-14.992
3/8/22,-16.104
3/9/22,-16.494
3/10/22,-17.208
3/11/22,-18.384
3/14/22,-19.216
3/15/22,-20.374
3/16/22,-21.026
3/17/22,-21.67
3/18/22,-22.532
3/21/22,-23.406
3/22/22,-24.254
3/23/22,-25.77
3/24/22,-27.368
3/25/22,-28.944
3/28/22,-30.378
3/29/22,-30.882
3/30/22,-30.732
3/31/22,-30.492
4/1/22,-28.538
4/4/22,-26.768
4/5/22,-25.184
4/6/22,-23.582
4/7/22,-21.894
4/8/22,-21.834
4/11/22,-22.466
4/12/22,-23.13
4/13/22,-23.854
4/14/22,-25.13
4/15/22,-27.024
4/18/22,-27.986
4/19/22,-28.8
4/20/22,-29.608
4/21/22,-30.044
4/22/22,-30.098
4/25/22,-28.252
4/26/22,-26.506
4/27/22,-26.776
4/28/22,-26.976
4/29/22,-27.156
5/2/22,-29.398
5/3/22,-30.244
5/4/22,-29.07
5/5/22,-27.972
5/6/22,-26.678
5/9/22,-25.258
5/10/22,-25.69
5/11/22,-26.744
5/12/22,-27.77
5/13/22,-28.836
5/16/22,-29.982
5/17/22,-30.786
5/18/22,-30.884
5/19/22,-30.92
5/20/22,-30.976
5/23/22,-30.806
5/24/22,-30.51
5/25/22,-30.242
5/26/22,-30.002
5/27/22,-29.69
5/30/22,-29.574
5/31/22,-29.49
6/1/22,-30.796
6/2/22,-31.576
6/3/22,-32.21
6/6/22,-32.916
6/7/22,-33.59
6/8/22,-32.868
6/9/22,-33.308
6/10/22,-34.478
6/13/22,-35.584
6/14/22,-36.644
6/15/22,-37.764
6/16/22,-38.118
6/17/22,-37.96
6/20/22,-37.558
6/21/22,-36.978
6/22/22,-36.368
6/23/22,-35.882
6/24/22,-35.36
6/27/22,-35.078
6/28/22,-35.004
6/29/22,-34.888
6/30/22,-34.776
7/1/22,-35.482
7/4/22,-36.266
7/5/22,-37.014
7/6/22,-37.706
7/7/22,-38.32
7/8/22,-38.066
7/11/22,-37.51
7/12/22,-37.308
7/13/22,-37.278
7/14/22,-37.462
7/15/22,-37.868
7/18/22,-37.898
7/19/22,-37.504
7/20/22,-36.898
7/21/22,-36.166
7/22/22,-34.756
7/25/22,-33.96
7/26/22,-33.252
7/27/22,-32.664
7/28/22,-32.058
7/29/22,-31.93
8/1/22,-32.352
8/2/22,-32.732
8/3/22,-33.14
8/4/22,-33.596
8/5/22,-34.238
8/8/22,-34.394
8/9/22,-34.558
8/10/22,-34.576
8/11/22,-34.236
8/12/22,-32.8
8/15/22,-30.984
8/16/22,-29.016
8/17/22,-26.494
8/18/22,-24.086
8/19/22,-22.44
8/22/22,-20.856
8/23/22,-19.478
8/24/22,-18.736
8/25/22,-18.21
8/26/22,-17.838
8/29/22,-17.672
8/30/22,-17.662
8/31/22,-17.666
