Dates,Discount
1/3/22,-4.3
1/4/22,-4.365
1/5/22,-4.247
1/6/22,-4.13
1/7/22,-3.97
1/10/22,-3.628
1/11/22,-3.156
1/12/22,-2.936
1/13/22,-2.542
1/14/22,-2.314
1/17/22,-1.994
1/18/22,-1.73
1/19/22,-1.326
1/20/22,-1.108
1/21/22,-0.666
1/24/22,-0.544
1/25/22,-0.51
1/26/22,-0.468
1/27/22,-0.434
1/28/22,-0.542
1/31/22,-0.734
2/1/22,-1.036
2/2/22,-1.308
2/3/22,-1.666
2/4/22,-1.59
2/7/22,-1.15
2/8/22,-0.472
2/9/22,-0.318
2/10/22,0.162
2/11/22,-0.198
2/14/22,-0.338
2/15/22,-0.486
2/16/22,-0.658
2/17/22,-1.326
2/18/22,-1.424
2/21/22,-2.094
2/22/22,-3.326
2/23/22,-4.036
2/24/22,-5.398
2/25/22,-7.474
2/28/22,-9.416
3/1/22,-11.762
3/2/22,-14.242
3/3/22,-16.906
3/4/22,-20.102
3/7/22,-23.21
3/8/22,-25.748
3/9/22,-28.194
3/10/22,-29.438
3/11/22,-29.544
3/14/22,-30.124
3/15/22,-30.228
3/16/22,-30.19
3/17/22,-30.26
3/18/22,-30.374
3/21/22,-29.882
3/22/22,-29.658
3/23/22,-29.47
3/24/22,-29.31
3/25/22,-29.764
3/28/22,-30.56
3/29/22,-31.348
3/30/22,-32.242
3/31/22,-33.8
4/1/22,-34.406
4/4/22,-35.828
4/5/22,-37.29
4/6/22,-38.76
4/7/22,-39.716
4/8/22,-41.454
4/11/22,-42.096
4/12/22,-42.502
4/13/22,-42.888
4/14/22,-43.308
4/15/22,-43.302
4/18/22,-43.436
4/19/22,-43.836
4/20/22,-44.112
4/21/22,-44.048
4/22/22,-43.788
4/25/22,-43.822
4/26/22,-43.478
4/27/22,-42.83
4/28/22,-42.286
4/29/22,-41.314
5/2/22,-40.048
5/3/22,-39.098
5/4/22,-38.444
5/5/22,-37.656
5/6/22,-37.468
5/9/22,-37.41
5/10/22,-37.202
5/11/22,-37.056
5/12/22,-37.072
5/13/22,-37.118
5/16/22,-36.986
5/17/22,-36.874
5/18/22,-36.786
5/19/22,-36.566
5/20/22,-36.352
5/23/22,-36.062
5/24/22,-35.71
5/25/22,-35.316
5/26/22,-35.03
5/27/22,-34.882
5/30/22,-34.96
5/31/22,-34.84
6/1/22,-34.126
6/2/22,-33.718
6/3/22,-33.218
6/6/22,-32.36
6/7/22,-31.658
6/8/22,-31.694
6/9/22,-31.51
6/10/22,-31.266
6/13/22,-31.142
6/14/22,-31.166
6/15/22,-31
6/16/22,-30.952
6/17/22,-30.842
6/20/22,-31.298
6/21/22,-31.736
6/22/22,-32.254
6/23/22,-32.508
6/24/22,-32.876
6/27/22,-32.776
6/28/22,-32.242
6/29/22,-31.616
6/30/22,-31.136
7/1/22,-30.074
7/4/22,-28.964
7/5/22,-28.346
7/6/22,-27.74
7/7/22,-26.986
7/8/22,-27.11
7/11/22,-27.164
7/12/22,-27.276
7/13/22,-27.524
7/14/22,-27.604
7/15/22,-26.866
7/18/22,-26.292
7/19/22,-26.272
7/20/22,-25.97
7/21/22,-25.95
7/22/22,-27.438
7/25/22,-29.038
7/26/22,-29.912
7/27/22,-30.996
7/28/22,-32.182
7/29/22,-32.552
8/1/22,-31.908
8/2/22,-31.316
8/3/22,-30.916
8/4/22,-30.674
8/5/22,-29.898
8/8/22,-29.73
8/9/22,-29.428
8/10/22,-28.944
8/11/22,-28.184
8/12/22,-28.17
8/15/22,-28.928
8/16/22,-29.816
8/17/22,-28.836
8/18/22,-28.614
8/19/22,-27.972
8/22/22,-27.062
8/23/22,-26.008
8/24/22,-26.98
8/25/22,-27.006
8/26/22,-26.928
8/29/22,-26.632
8/30/22,-26.484
8/31/22,-26.158
9/1/22,-26.066
9/2/22,-26.028
9/5/22,-26.226
9/6/22,-26.496
9/7/22,-26.716
9/8/22,-26.878
9/9/22,-27.078
9/12/22,-26.936
9/13/22,-26.834
9/14/22,-26.828
9/15/22,-26.936
9/16/22,-27.076
9/19/22,-27.322
9/20/22,-27.276
9/21/22,-27.008
9/22/22,-26.65
9/23/22,-26.634
9/26/22,-26.544
9/27/22,-26.406
9/28/22,-26.388
9/29/22,-26.288
9/30/22,-25.814
10/3/22,-25.248
10/4/22,-24.886
10/5/22,-24.82
10/6/22,-24.798
10/7/22,-24.796
10/10/22,-24.99
10/11/22,-25.214
10/12/22,-25.232
10/13/22,-25.338
10/14/22,-25.448
10/17/22,-25.76
10/18/22,-26.072
10/19/22,-26.464
10/20/22,-26.77
10/21/22,-27.22
10/24/22,-27.436
10/25/22,-27.652
