Date,Extracted,Urals price,OPEC
1/1/2007,9.42,50.12,Pre
2/1/2007,9.46,53.81,Pre
3/1/2007,9.472909,58.81,Pre
4/1/2007,9.369266,63.92,Pre
5/1/2007,9.39,64.29,Pre
6/1/2007,9.44,67.83,Pre
7/1/2007,9.46,73.9,Pre
8/1/2007,9.39,69.25,Pre
9/1/2007,9.52,73.78,Pre
10/1/2007,9.5,79.5,Pre
11/1/2007,9.425,90.2,Pre
12/1/2007,9.4,89,Pre
1/1/2008,9.359,89.2,Pre
2/1/2008,9.362,91.14,Pre
3/1/2008,9.334,99,Pre
4/1/2008,9.296,105.75,Pre
5/1/2008,9.315,119.1,Pre
6/1/2008,9.334,127.7,Pre
7/1/2008,9.344,121.29,Pre
8/1/2008,9.409,112.2,Pre
9/1/2008,9.4058,97.61,Pre
10/1/2008,9.43,70.51,Pre
11/1/2008,9.3591,51.79,Pre
12/1/2008,9.3328,40.03,Pre
1/1/2009,9.343,43.09,Pre
2/1/2009,9.331,42.32,Pre
3/1/2009,9.388,45.65,Pre
4/1/2009,9.459,49.1,Pre
5/1/2009,9.4287,56.9,Pre
6/1/2009,9.4571,68.38,Pre
7/1/2009,9.4764,64.85,Pre
8/1/2009,9.532,72.27,Pre
9/1/2009,9.623,67.09,Pre
10/1/2009,9.6291,72.67,Pre
11/1/2009,9.654,76.32,Pre
12/1/2009,9.614,73.88,Pre
1/1/2010,9.6147,76.09,Pre
2/1/2010,9.6484,72.84,Pre
3/1/2010,9.6827,77.04,Pre
4/1/2010,9.646251,82.51,Pre
5/1/2010,9.691,74.1,Pre
6/1/2010,9.727355,74.37,Pre
7/1/2010,9.71,73.8,Pre
8/1/2010,9.623,75.45,Pre
9/1/2010,9.725,77.39,Pre
10/1/2010,9.816,81.53,Pre
11/1/2010,9.723,84.74,Pre
12/1/2010,9.719,89.74,Pre
1/1/2011,9.769,93.56,Pre
2/1/2011,9.773,101.49,Pre
3/1/2011,9.753,111.5,Pre
4/1/2011,9.795,119.6,Pre
5/1/2011,9.818,111.5,Pre
6/1/2011,9.77,111.68,Pre
7/1/2011,9.837,114.9,Pre
8/1/2011,9.832,109.25,Pre
9/1/2011,9.557,110.39,Pre
10/1/2011,9.902,108.1,Pre
11/1/2011,9.595,110.54,Pre
12/1/2011,9.869,107.31,Pre
1/1/2012,9.894,109.91,Pre
2/1/2012,9.889,118.5,Pre
3/1/2012,9.891,122.41,Pre
4/1/2012,9.861,117.69,Pre
5/1/2012,9.882,109.21,Pre
6/1/2012,9.861,93.81,Pre
7/1/2012,9.882,102.63,Pre
8/1/2012,9.907,113.18,Pre
9/1/2012,9.941,111.92,Pre
