Date,Revenue,Avg
21-Jan,6.478708853,10.24098864
21-Feb,7.301030828,10.24098864
21-Mar,7.696301257,10.24098864
21-Apr,11.82996863,10.24098864
21-May,8.455199968,10.24098864
21-Jun,8.844573369,10.24098864
21-Jul,13.59020739,10.24098864
21-Aug,9.501907756,10.24098864
21-Sep,9.88159678,10.24098864
21-Oct,15.61742386,10.24098864
21-Nov,11.86089266,10.24098864
21-Dec,11.77701366,10.24098864
22-Jan,10.26761714,10.24098864
22-Feb,10.27139875,10.24098864
22-Mar,14.52043269,15.41147764
22-Apr,25.33399098,15.41147764
22-May,14.40650407,15.41147764
22-Jun,13.95140914,15.41147764
22-Jul,12.50567997,15.41147764
22-Aug,11.15723062,15.41147764
22-Sep,11.77416595,15.41147764
22-Oct,20.84827783,15.41147764
22-Nov,14.20560748,15.41147764
22-Dec,13.32618026,7.90727309
23-Jan,6.095674592,7.90727309
23-Feb,6.952114179,7.90727309
23-Mar,8.867553723,7.90727309
23-Apr,8.068535826,7.90727309
23-May,7.036991369,7.90727309
23-Jun,5.891680625,7.90727309
23-Jul,8.8569869,7.90727309
23-Aug,6.54680656,7.90727309
23-Sep,7.430206869,7.90727309
