Matching,Statista,Investing.com,Bloomberg,Treasury
01/04/22,-2.0,-2.38,-1.87,-3.35375
01/05/22,-1.72,-1.99,-1.88,-3.2375
01/06/22,-1.59,-1.77,-1.91,-3.134375
01/07/22,-1.76,-1.56,-1.95,-3.0505
01/10/22,-1.63,-1.15,-1.93,-2.89
01/11/22,-1.64,-0.79,-2.02,-2.626
01/12/22,-1.69,-0.56,-2.03,-2.4245
01/13/22,-1.73,-0.34,-2.03,-2.284
01/14/22,-1.88,-0.37,-1.93,-2.205
01/17/22,-1.81,-0.17,-1.78,-2.202
01/18/22,-1.61,0.02,-1.58,-2.2785
01/19/22,-1.35,0.27,-1.39,-2.304
01/20/22,-1.0,0.61,-1.31,-2.277
01/21/22,-0.72,1.02,-1.27,-2.2325
01/24/22,-0.71,1.03,-1.13,-2.1145
01/25/22,-0.7,1.03,-1.05,-2.0115
01/26/22,-0.71,1.15,-0.96,-2.015
01/27/22,-0.76,1.22,-0.72,-2.114
01/28/22,-0.53,1.54,-0.57,-2.168
01/31/22,-0.59,1.56,-0.51,-2.394
02/01/22,-0.66,1.74,-1.16,-2.2815
02/02/22,-1.32,1.43,-1.79,-2.3775
02/03/22,-2.14,0.96,-2.48,-2.3675
02/04/22,-2.64,1.01,-3.2,-2.181
02/07/22,-2.77,1.69,-4.02,-1.8465
02/08/22,-3.11,2.18,-4.14,-1.9455
02/09/22,-2.97,2.74,-4.25,-1.925
02/10/22,-2.57,3.58,-4.37,-2.0415
02/11/22,-3.14,2.83,-4.44,-2.4535
02/14/22,-3.81,2.21,-4.41,-2.9385
02/15/22,-3.91,1.91,-4.42,-3.23
02/16/22,-3.82,1.52,-4.43,-3.461
02/17/22,-4.21,0.51,-4.42,-3.739
02/18/22,-4.03,0.51,-4.47,-3.9275
02/21/22,-3.82,0.32,-4.28,-4.12
02/22/22,-4.32,-0.62,-4.25,-4.8055
02/23/22,-5.17,-1.19,-4.33,-5.6175
02/24/22,-6.51,-1.79,-4.8,-7.453
02/25/22,-7.95,-2.85,-5.76,-10.0625
02/28/22,-9.79,-4.23,-6.53,-12.5675
03/01/22,-12.0,-5.08,-8.06,-15.3765
03/02/22,-15.0,-6.92,-10.72,-17.894
03/03/22,-16.72,-8.44,-12.62,-20.1425
03/04/22,-20.05,-11.94,-13.36,-22.781
03/07/22,-22.71,-14.2,-14.99,-25.374
03/08/22,-24.28,-16.26,-16.1,-27.128
03/09/22,-23.47,-15.9,-16.49,-28.8455
03/10/22,-24.31,-16.68,-17.21,-29.6785
03/11/22,-24.57,-16.15,-18.38,-29.439
03/14/22,-25.22,-16.93,-19.22,-29.9135
03/15/22,-25.74,-17.1,-20.37,-30.5755
03/16/22,-27.91,-18.69,-21.03,-31.2855
03/17/22,-29.23,-19.35,-21.67,-31.8365
03/18/22,-29.47,-19.06,-22.53,-32.399
03/21/22,-29.8,-18.75,-23.41,-32.42
03/22/22,-30.63,-19.18,-24.25,-32.654
03/23/22,-31.25,-19.69,-25.77,-33.0255
03/24/22,-31.16,-19.74,-27.37,-33.571
03/25/22,-31.19,-20.41,-28.94,-34.0825
03/28/22,-30.89,-20.8,-30.38,-34.45
03/29/22,-30.86,-21.46,-30.88,-34.6815
03/30/22,-30.74,-22.11,-30.73,-34.8255
03/31/22,-30.8,-23.28,-30.49,-34.853
04/01/22,-30.69,-23.22,-28.54,-34.654
04/04/22,-31.52,-24.34,-26.77,-35.3295
04/05/22,-32.06,-25.39,-25.18,-35.944
04/06/22,-32.18,-25.99,-23.58,-36.649
04/07/22,-33.31,-27.15,-21.89,-37.577
04/08/22,-34.53,-29.02,-21.83,-38.694
04/11/22,-34.52,-29.24,-22.47,-38.9755
04/12/22,-34.47,-29.23,-23.13,-39.178
04/13/22,-35.5,-30.27,-23.85,-39.254
04/14/22,-36.03,-30.82,-25.13,-39.314
04/19/22,-37.47,-31.79,-28.8,-39.4185
04/20/22,-37.04,-32.19,-29.61,-39.511
04/21/22,-36.34,-32.01,-30.04,-39.5825
04/22/22,-35.55,-31.35,-30.1,-39.617
04/25/22,-35.29,-31.23,-28.25,-39.6065
04/26/22,-35.49,-31.5,-26.51,-39.4275
04/27/22,-35.72,-31.78,-26.78,-39.0705
04/28/22,-35.9,-32.1,-26.98,-38.727
04/29/22,-35.94,-32.03,-27.16,-38.534
05/03/22,-35.07,-29.99,-30.24,-38.1405
05/04/22,-35.21,-29.64,-29.07,-37.7185
05/05/22,-34.91,-28.73,-27.97,-37.3495
05/06/22,-34.75,-28.08,-26.68,-37.0085
