Date,Discount
1/3/22,-1.99
1/4/22,-2
1/5/22,-1.72
1/6/22,-1.59
1/7/22,-1.76
1/10/22,-1.63
1/11/22,-1.64
1/12/22,-1.69
1/13/22,-1.73
1/14/22,-1.88
1/17/22,-1.81
1/18/22,-1.61
1/19/22,-1.35
1/20/22,-1
1/21/22,-0.72
1/24/22,-0.71
1/25/22,-0.7
1/26/22,-0.71
1/27/22,-0.76
1/28/22,-0.53
1/31/22,-0.59
2/1/22,-0.66
2/2/22,-1.32
2/3/22,-2.14
2/4/22,-2.64
2/7/22,-2.77
2/8/22,-3.11
2/9/22,-2.97
2/10/22,-2.57
2/11/22,-3.14
2/14/22,-3.81
2/15/22,-3.91
2/16/22,-3.82
2/17/22,-4.21
2/18/22,-4.03
2/21/22,-3.82
2/22/22,-4.32
2/23/22,-5.17
2/24/22,-6.51
2/25/22,-7.95
2/28/22,-9.79
3/1/22,-12
3/2/22,-15
3/3/22,-16.72
3/4/22,-20.05
3/7/22,-22.71
3/8/22,-24.28
3/9/22,-23.47
3/10/22,-24.31
3/11/22,-24.57
3/14/22,-25.22
3/15/22,-25.74
3/16/22,-27.91
3/17/22,-29.23
3/18/22,-29.47
3/21/22,-29.8
3/22/22,-30.63
3/23/22,-31.25
3/24/22,-31.16
3/25/22,-31.19
3/28/22,-30.89
3/29/22,-30.86
3/30/22,-30.74
3/31/22,-30.8
4/1/22,-30.69
4/4/22,-31.52
4/5/22,-32.06
4/6/22,-32.18
4/7/22,-33.31
4/8/22,-34.53
4/11/22,-34.52
4/12/22,-34.47
4/13/22,-35.5
4/14/22,-36.03
4/15/22,-36.49
4/18/22,-37.35
4/19/22,-37.47
4/20/22,-37.04
4/21/22,-36.34
4/22/22,-35.55
4/25/22,-35.29
4/26/22,-35.49
4/27/22,-35.72
4/28/22,-35.9
4/29/22,-35.94
5/2/22,-35.46
5/3/22,-35.07
5/4/22,-35.21
5/5/22,-34.91
5/6/22,-34.75
5/9/22,-34.67
5/10/22,-34.56
5/11/22,-34.24
5/12/22,-34.2
5/13/22,-34.53
5/16/22,-34.95
5/17/22,-34.71
5/18/22,-34.6
5/19/22,-35.12
5/20/22,-35
5/23/22,-34.65
5/24/22,-35.21
5/25/22,-35.38
5/26/22,-35
5/27/22,-35.25
5/30/22,-35.49
5/31/22,-35.2
6/1/22,-34.88
6/2/22,-34.23
6/3/22,-33.93
6/6/22,-33.7
6/7/22,-34.08
6/8/22,-34.54
6/9/22,-35.02
6/10/22,-35.16
6/13/22,-35.43
6/14/22,-34.61
6/15/22,-33.67
6/16/22,-34.51
6/17/22,-34.15
6/20/22,-33.93
6/21/22,-34.65
6/22/22,-35.25
6/23/22,-34.62
6/24/22,-34.67
6/27/22,-34.62
6/28/22,-34.35
6/29/22,-33.31
6/30/22,-33.04
7/1/22,-32.87
7/4/22,-32.38
7/5/22,-32.21
7/6/22,-32.59
7/7/22,-32.45
7/8/22,-32.33
7/11/22,-32.49
7/12/22,-32.24
7/13/22,-32.29
7/14/22,-33.13
7/15/22,-32.99
7/18/22,-32.9
7/19/22,-33.48
7/20/22,-33.54
7/21/22,-32.79
7/22/22,-32.51
7/25/22,-32.55
7/26/22,-32
7/27/22,-31.89
7/28/22,-31.84
7/29/22,-32.18
8/1/22,-32.2
8/2/22,-32.45
8/3/22,-32.11
8/4/22,-32.26
8/5/22,-32.15
8/8/22,-32.04
8/9/22,-31.82
8/10/22,-32.57
8/11/22,-32.68
8/12/22,-32.89
8/15/22,-33.1
8/16/22,-33.16
8/17/22,-31.15
8/18/22,-29.27
8/19/22,-27.4
8/22/22,-25.71
8/23/22,-24.21
8/24/22,-24.36
8/25/22,-23.96
8/26/22,-24.36
8/29/22,-24.39
8/30/22,-24.11
8/31/22,-23.78
9/1/22,-24.05
9/2/22,-23.43
9/5/22,-23.01
9/6/22,-23.09
9/7/22,-22.82
9/8/22,-22.91
9/9/22,-23.39
9/12/22,-23.36
9/13/22,-23.5
9/14/22,-23.71
9/15/22,-23.72
9/16/22,-23.3
9/19/22,-23.21
9/20/22,-23.19
9/21/22,-23.32
9/22/22,-23.22
9/23/22,-23.28
9/26/22,-23.13
9/27/22,-23.06
9/28/22,-23.22
9/29/22,-23.26
9/30/22,-23.38
10/3/22,-23.82
10/4/22,-23.78
10/5/22,-23.56
10/6/22,-23.63
10/7/22,-23.69
10/10/22,-23.4
10/11/22,-23.45
10/12/22,-23.45
10/13/22,-23.55
10/14/22,-23.34
10/17/22,-23.51
10/18/22,-23.69
10/19/22,-24.06
10/20/22,-23.68
10/21/22,-23.97
10/24/22,-24
10/25/22,-23.82
10/26/22,-23.49
10/27/22,-23.7
10/28/22,-23.61
10/31/22,-23.81
11/1/22,-23.76
11/2/22,-23.57
11/3/22,-23.48
11/4/22,-23.62
11/7/22,-23.11
11/8/22,-22.73
11/9/22,-22.64
11/10/22,-22.74
11/11/22,-22.56
11/14/22,-22.54
11/15/22,-23.05
11/16/22,-23.5
11/17/22,-23.41
11/18/22,-23.46
11/21/22,-24.73
11/22/22,-24.51
11/23/22,-24.39
11/24/22,-24.48
11/25/22,-24.17
11/28/22,-23.31
11/29/22,-23.5
11/30/22,-23.53
12/1/22,-23.21
12/2/22,-24.3
12/5/22,-24.76
12/6/22,-25.53
12/7/22,-26.16
12/8/22,-27.45
12/9/22,-27.45
12/12/22,-27.81
12/13/22,-27.97
12/14/22,-28.54
12/15/22,-28.89
12/16/22,-29.43
12/19/22,-29.75
12/20/22,-30.22
12/21/22,-30.38
12/22/22,-30.13
12/23/22,-30.14
12/26/22,-30.26
12/27/22,-30.19
12/28/22,-30.21
12/29/22,-30.49
12/30/22,-30.71
1/2/23,-30.39
1/3/23,-30.07
1/4/23,-29.85
1/5/23,-29.69
1/6/23,-29.15
1/9/23,-29.39
1/10/23,-30.09
1/11/23,-30.67
1/12/23,-31.12
1/13/23,-31.81
1/16/23,-32.21
1/17/23,-32.25
1/18/23,-31.68
1/19/23,-31.86
1/20/23,-31.95
