Date,Discount
12/31/21,-2.01
01/03/22,-1.99
01/04/22,-2
01/05/22,-1.72
01/06/22,-1.59
01/07/22,-1.76
01/10/22,-1.63
01/11/22,-1.64
01/12/22,-1.69
01/13/22,-1.73
01/14/22,-1.88
01/17/22,-1.81
01/18/22,-1.61
01/19/22,-1.35
01/20/22,-1
01/21/22,-0.72
01/24/22,-0.71
01/25/22,-0.70
01/26/22,-0.71
01/27/22,-0.76
01/28/22,-0.53
01/31/22,-0.59
02/01/22,-0.66
02/02/22,-1.32
02/03/22,-2.14
02/04/22,-2.64
02/07/22,-2.77
02/08/22,-3.11
02/09/22,-2.97
02/10/22,-2.57
02/11/22,-3.14
02/14/22,-3.81
02/15/22,-3.91
02/16/22,-3.82
02/17/22,-4.21
02/18/22,-4.03
02/21/22,-3.82
02/22/22,-4.32
02/23/22,-5.17
02/24/22,-6.51
02/25/22,-7.95
02/28/22,-9.79
03/01/22,-12
03/02/22,-15
03/03/22,-16.72
03/04/22,-20.05
03/07/22,-22.71
03/08/22,-24.28
03/09/22,-23.47
03/10/22,-24.31
03/11/22,-24.57
03/14/22,-25.22
03/15/22,-25.74
03/16/22,-27.91
03/17/22,-29.23
03/18/22,-29.47
03/21/22,-29.80
03/22/22,-30.63
03/23/22,-31.25
03/24/22,-31.16
03/25/22,-31.19
03/28/22,-30.89
03/29/22,-30.86
03/30/22,-30.74
03/31/22,-30.80
04/01/22,-30.69
04/04/22,-31.52
04/05/22,-32.06
04/06/22,-32.18
04/07/22,-33.31
04/08/22,-34.53
04/11/22,-34.52
04/12/22,-34.47
04/13/22,-35.50
04/14/22,-36.03
04/15/22,-36.49
04/18/22,-37.35
04/19/22,-37.47
04/20/22,-37.04
04/21/22,-36.34
04/22/22,-35.55
04/25/22,-35.29
04/26/22,-35.49
04/27/22,-35.72
04/28/22,-35.90
04/29/22,-35.94
05/02/22,-35.46
05/03/22,-35.07
05/04/22,-35.21
05/05/22,-34.91
05/06/22,-34.75
05/09/22,-34.67
05/10/22,-34.56
05/11/22,-34.24
05/12/22,-34.20
05/13/22,-34.53
05/16/22,-34.95
05/17/22,-34.71
05/18/22,-34.60
05/19/22,-35.12
05/20/22,-35
05/23/22,-34.65
05/24/22,-35.21
05/25/22,-35.38
05/26/22,-35
05/27/22,-35.25
05/30/22,-35.49
05/31/22,-35.20
06/01/22,-34.88
06/02/22,-34.23
06/03/22,-33.93
06/06/22,-33.70
06/07/22,-34.08
06/08/22,-34.54
06/09/22,-35.02
06/10/22,-35.16
06/13/22,-35.43
06/14/22,-34.61
06/15/22,-33.67
06/16/22,-34.51
06/17/22,-34.15
06/20/22,-33.93
06/21/22,-34.65
06/22/22,-35.25
06/23/22,-34.62
06/24/22,-34.67
06/27/22,-34.62
06/28/22,-34.35
06/29/22,-33.31
06/30/22,-33.04
07/01/22,-32.87
07/04/22,-32.38
07/05/22,-32.21
07/06/22,-32.59
07/07/22,-32.45
07/08/22,-32.33
07/11/22,-32.49
07/12/22,-32.24
07/13/22,-32.29
07/14/22,-33.13
07/15/22,-32.99
07/18/22,-32.90
07/19/22,-33.48
07/20/22,-33.54
07/21/22,-32.79
07/22/22,-32.51
07/25/22,-32.55
07/26/22,-32
07/27/22,-31.89
07/28/22,-31.84
07/29/22,-32.18
08/01/22,-32.20
08/02/22,-32.45
08/03/22,-32.11
08/04/22,-32.26
08/05/22,-32.15
08/08/22,-32.04
08/09/22,-31.82
08/10/22,-32.57
08/11/22,-32.68
08/12/22,-32.89
08/15/22,-33.10
08/16/22,-33.16
08/17/22,-31.15
08/18/22,-29.27
08/19/22,-27.40
08/22/22,-25.71
08/23/22,-24.21
08/24/22,-24.36
08/25/22,-23.96
08/26/22,-24.36
08/29/22,-24.39
08/30/22,-24.11
08/31/22,-23.78
09/01/22,-24.05
09/02/22,-23.43
09/05/22,-23.01
09/06/22,-23.09
09/07/22,-22.82
09/08/22,-22.91
09/09/22,-23.39
09/12/22,-23.36
09/13/22,-23.50
09/14/22,-23.71
09/15/22,-23.72
09/16/22,-23.30
09/19/22,-23.21
09/20/22,-23.19
09/21/22,-23.32
09/22/22,-23.22
09/23/22,-23.28
09/26/22,-23.13
09/27/22,-23.06
09/28/22,-23.22
09/29/22,-23.26
09/30/22,-23.38
10/03/22,-23.82
10/04/22,-23.78
10/05/22,-23.56
10/06/22,-23.63
10/07/22,-23.69
10/10/22,-23.40
10/11/22,-23.45
10/12/22,-23.45
10/13/22,-23.55
10/14/22,-23.34
10/17/22,-23.51
10/18/22,-23.69
10/19/22,-24.06
10/20/22,-23.68
10/21/22,-23.97
10/24/22,-24
10/25/22,-23.82
10/26/22,-23.49
10/27/22,-23.70
10/28/22,-23.61
10/31/22,-23.81
11/01/22,-23.76
11/02/22,-23.57
11/03/22,-23.48
11/04/22,-23.62
11/07/22,-23.11
11/08/22,-22.73
11/09/22,-22.64
11/10/22,-22.74
11/11/22,-22.56
11/14/22,-22.54
11/15/22,-23.05
11/16/22,-23.50
11/17/22,-23.41
11/18/22,-23.46
11/21/22,-24.73
11/22/22,-24.51
11/23/22,-24.39
11/24/22,-24.48
11/25/22,-24.17
11/28/22,-23.31
11/29/22,-23.50
11/30/22,-23.53
12/01/22,-23.21
12/02/22,-24.30
12/05/22,-24.76
12/06/22,-25.53
12/07/22,-26.16
12/08/22,-27.45
12/09/22,-27.45
12/12/22,-27.81
12/13/22,-27.97
12/14/22,-28.54
12/15/22,-28.89
12/16/22,-29.43
12/19/22,-29.75
12/20/22,-30.22
12/21/22,-30.38
12/22/22,-30.13
12/23/22,-30.14
12/26/22,-30.26
12/27/22,-30.19
12/28/22,-30.21
12/29/22,-30.49
12/30/22,-30.71
01/02/23,-30.39
01/03/23,-30.07
01/04/23,-29.85
01/05/23,-29.69
01/06/23,-29.15
01/09/23,-29.39
01/10/23,-30.09
01/11/23,-30.67
01/12/23,-31.12
01/13/23,-31.81
01/16/23,-32.21
01/17/23,-32.25
01/18/23,-31.68
01/19/23,-31.86
01/20/23,-31.95
01/23/23,-31.79
01/24/23,-31.58
01/25/23,-31.95
01/26/23,-31.80
01/27/23,-31.64
01/30/23,-31.85
01/31/23,-32.03
02/01/23,-31.77
02/02/23,-31.80
02/03/23,-31.47
02/06/23,-31.58
02/07/23,-31.66
02/08/23,-32.14
02/09/23,-32.22
02/10/23,-32.58
02/14/23,-32.30
02/15/23,-32.35
02/16/23,-32.21
02/17/23,-32.21
02/20/23,-32.32
02/21/23,-32.25
02/22/23,-31.92
02/23/23,-32.07
02/24/23,-32.17
02/27/23,-32.02
02/28/23,-30.81
03/01/23,-29.90
03/02/23,-28.57
03/03/23,-27.63
03/06/23,-26.27
03/07/23,-26.12
03/08/23,-25.97
03/09/23,-25.68
03/10/23,-25.59
03/13/23,-25.29
03/14/23,-25.05
03/15/23,-25.52
03/16/23,-25.88
03/17/23,-25.69
03/20/23,-26.14
03/27/23,-26.40
03/28/23,-25.51
03/29/23,-24.49
03/30/23,-23.96
03/31/23,-22.96
04/03/23,-21.84
04/04/23,-21.90
04/05/23,-21.93
04/06/23,-21.78
04/07/23,-21.69
04/10/23,-21.50
04/11/23,-21.34
