Dates,,,,,,Discount
1/8/24,57.96,57.96,57.56,57.96,75.7,-17.94
1/5/24,59.155,59.155,58.755,59.155,77.585,-18.63
1/4/24,60.43,60.43,60.03,60.43,79.12,-18.89
1/3/24,62.01,62.01,61.61,62.01,80.845,-19.035
1/2/24,61.97,61.97,61.57,61.97,80.775,-19.005
12/29/23,61.8,61.8,61.4,61.8,80.58,-18.98
12/28/23,63.22,63.22,62.82,63.22,81.87,-18.85
12/27/23,62.005,62.005,61.605,62.005,80.165,-18.36
12/22/23,61.405,61.405,61.005,61.405,79.18,-17.975
12/21/23,59.605,59.605,59.205,59.605,77.085,-17.68
12/20/23,60.055,60.055,59.655,60.055,77.275,-17.42
12/19/23,57.175,57.175,56.775,57.175,74.09,-17.115
12/18/23,56.845,56.845,56.445,56.845,73.555,-16.91
12/15/23,59.41,59.41,59.01,59.41,75.945,-16.735
12/14/23,59.645,59.645,59.245,59.645,75.81,-16.365
12/13/23,58.255,58.255,57.855,58.255,74.295,-16.24
12/12/23,59.035,59.035,58.635,59.035,74.66,-15.825
12/11/23,62.635,62.635,62.235,62.635,78.125,-15.69
12/8/23,62.785,62.785,62.385,62.785,78.25,-15.665
12/7/23,65.83,65.83,65.43,65.83,81.1,-15.47
12/6/23,65.09,65.09,64.69,65.09,80.6,-15.71
12/5/23,66.53,66.53,66.13,66.53,82.28,-15.95
12/4/23,66.53,66.53,66.13,66.53,81.99,-15.66
12/1/23,64.995,64.995,64.595,64.995,80.135,-15.34
11/30/23,66.63,66.63,66.23,66.63,81.91,-15.48
11/29/23,65.625,65.625,65.225,65.625,80.95,-15.525
11/28/23,64.34,64.34,63.94,64.34,79.48,-15.34
11/27/23,67.43,67.43,67.03,67.43,82.2,-14.97
11/24/23,69.02,69.17,68.77,69.02,83.33,-14.36
11/23/23,65.785,65.935,65.535,65.785,80.08,-14.345
11/22/23,63.965,64.365,63.965,63.965,78.145,-13.98
11/21/23,68.18,68.58,68.28,68.18,82.61,-14.18
11/20/23,70.61,71.01,70.71,70.61,85.185,-14.325
11/17/23,69.97,70.37,70.07,69.97,84.465,-14.245
11/16/23,69.405,69.805,69.505,69.405,83.58,-13.925
11/15/23,68.62,69.02,68.72,68.62,82.7,-13.83
11/14/23,68.46,68.86,68.56,68.46,82.31,-13.6
